V[ml],C[S],T[C]
0, 3e-6, 25.2
0.7, 0.299e-3, 25.7
1.4, 0.544e-3, 25.7
2.1, 0.801e-3, 25.7
2.8, 1.039e-3, 25.7
3.5, 1.269e-3, 25.6
